lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.5,7.4,0.966,1.5172,1.1322,1.4492,2.2613,1.6966,2.3463,3.5327,2.7076
47.5,7.5,1.0468,1.646,1.2246,1.5463,2.4193,1.8429,2.4789,3.7656,2.9134
47.5,7.6,1.0087,1.6461,1.2221,1.5061,2.4194,1.8394,2.4207,3.7657,2.9144
47.5,7.7,0.9238,1.5171,1.125,1.3944,2.2612,1.687,2.2859,3.5325,2.7047
47.5,7.8,0.8082,1.2709,0.9692,1.2282,1.8976,1.4345,2.0082,3.0117,2.3212
47.5,7.9,0.7347,1.0894,0.8333,1.1008,1.6266,1.2438,1.8005,2.6313,2.0302
47.5,8,0.6496,0.9697,0.7511,1.005,1.4212,1.1258,1.6657,2.2988,1.8269
47.5,8.1,0.6228,0.8958,0.7075,0.9473,1.3212,1.0648,1.5561,2.1552,1.7212
47.5,8.2,0.6125,0.8958,0.6914,0.9472,1.3211,1.0457,1.5558,2.1366,1.6891
47.5,8.3,0.5972,0.8958,0.6836,0.9105,1.3211,1.0367,1.4703,2.1366,1.6721
47.5,8.4,0.5972,0.8958,0.6865,0.9408,1.3212,1.0436,1.5219,2.1368,1.6871
47.5,8.5,0.6125,0.932,0.6982,0.9473,1.3819,1.0635,1.5559,2.2296,1.7305
47.5,8.6,0.6228,0.9659,0.7072,0.9473,1.4211,1.0743,1.522,2.2743,1.7476
47.5,8.7,0.6229,0.9679,0.7183,0.9473,1.4491,1.0874,1.5385,2.3462,1.7693
47.5,8.8,0.6496,0.9697,0.731,0.9855,1.4492,1.1018,1.5582,2.3463,1.7862
47.5,8.9,0.676,1.0081,0.7435,0.9871,1.4739,1.1157,1.542,2.3463,1.8026
47.5,9,0.6775,1.0082,0.7606,1.0211,1.474,1.1365,1.5936,2.3463,1.8304
47.5,9.1,0.6775,1.0433,0.775,1.0222,1.4966,1.153,1.6313,2.3463,1.8488
47.5,9.2,0.7062,1.0456,0.7868,1.0582,1.5286,1.1681,1.6886,2.3876,1.8698
47.5,9.3,0.7062,1.0082,0.7761,1.0553,1.4739,1.1518,1.6471,2.3197,1.8376
47.5,9.4,0.6775,0.9884,0.749,1.0211,1.4336,1.1085,1.5936,2.2534,1.7524
47.5,9.5,0.6496,0.932,0.7143,0.9525,1.3489,1.0573,1.4919,2.1314,1.6598
47.5,9.6,0.6079,0.8958,0.6744,0.898,1.2866,1.0019,1.3871,2.007,1.5645
47.5,9.7,0.5855,0.861,0.6529,0.8558,1.2585,0.9748,1.3329,2.0068,1.5341
47.5,9.8,0.564,0.8609,0.6403,0.8258,1.2584,0.9618,1.2915,2.0068,1.5244
47.5,9.9,0.546,0.8358,0.624,0.8175,1.2369,0.9394,1.2642,1.9737,1.4937
47.5,10,0.5264,0.8275,0.6079,0.7969,1.2156,0.9127,1.2393,1.9398,1.4467
47.5,10.1,0.5234,0.8275,0.6066,0.769,1.2044,0.9071,1.2127,1.8796,1.4295
47.5,10.2,0.5433,0.8275,0.6174,0.7969,1.2044,0.9235,1.2515,1.8796,1.4517
47.5,10.3,0.5641,0.8434,0.6441,0.8411,1.2158,0.9659,1.333,1.9401,1.5161
47.5,10.4,0.6028,0.9319,0.6952,0.9105,1.3487,1.0376,1.4434,2.1365,1.6295
47.5,10.5,0.6496,0.9697,0.7307,0.9856,1.3964,1.0881,1.512,2.2044,1.7173
47.5,10.6,0.7062,1.0082,0.77,1.0541,1.4739,1.1432,1.6281,2.3196,1.8126
47.5,10.7,0.7577,1.0632,0.8039,1.0908,1.5394,1.188,1.7025,2.3879,1.8855
47.5,10.8,0.7754,1.0845,0.8274,1.1275,1.5856,1.2168,1.7596,2.4581,1.9295
47.5,10.9,0.773,1.0802,0.8334,1.1572,1.5496,1.2208,1.7698,2.4595,1.9298
47.5,11,0.7645,1.0801,0.8273,1.1213,1.5495,1.2084,1.715,2.4207,1.9027
47.5,11.1,0.7348,1.0632,0.8139,1.0865,1.5393,1.1868,1.6619,2.3879,1.8615
47.5,11.2,0.7063,1.0434,0.8015,1.0554,1.4967,1.1676,1.6472,2.3464,1.8267
47.5,11.3,0.7062,1.0433,0.7953,1.0528,1.4966,1.1574,1.6103,2.3197,1.8078
47.5,11.4,0.7056,1.0412,0.795,1.0212,1.4682,1.1557,1.5937,2.2743,1.8034
47.5,11.5,0.7056,1.0433,0.8001,1.0212,1.4965,1.1628,1.5938,2.3195,1.8147
47.5,11.6,0.7062,1.0434,0.8194,1.0554,1.4967,1.1922,1.6471,2.3198,1.8689
47.5,11.7,0.7347,1.0845,0.8495,1.0907,1.5854,1.2433,1.7023,2.4579,1.9769
47.5,11.8,0.7348,1.1247,0.8698,1.0956,1.6443,1.2847,1.7482,2.5762,2.0651
47.5,11.9,0.7347,1.1248,0.8512,1.0955,1.6443,1.2602,1.7481,2.5763,2.031
47.5,12,0.6775,1.0801,0.7933,1.0212,1.5494,1.1751,1.5938,2.4207,1.8791
47.5,12.1,0.6229,0.9886,0.7196,0.9473,1.4209,1.068,1.4651,2.2493,1.6877
47.5,12.2,0.5855,0.932,0.6722,0.8752,1.3298,0.9999,1.3567,2.0713,1.5641
47.5,12.3,0.564,0.874,0.6436,0.8258,1.2585,0.9582,1.2916,2.0075,1.5078
47.5,12.4,0.5434,0.8276,0.6198,0.8085,1.2157,0.9231,1.2915,1.9401,1.459
47.5,12.5,0.5433,0.8275,0.6234,0.8084,1.2281,0.9342,1.3074,2.0068,1.4843
47.5,12.6,0.5433,0.8358,0.6193,0.8084,1.2281,0.9351,1.3249,2.0068,1.4953
47.5,12.7,0.5264,0.8276,0.6084,0.8084,1.2157,0.9177,1.3073,1.94,1.47
47.5,12.8,0.5353,0.8276,0.6001,0.7969,1.2156,0.903,1.2649,1.9399,1.4474
47.5,12.9,0.5264,0.8358,0.5964,0.7968,1.2156,0.8959,1.2514,1.9399,1.4367
47.5,13,0.5234,0.8516,0.5988,0.777,1.2368,0.898,1.2514,1.9738,1.4396
47.5,13.1,0.5264,0.8609,0.602,0.7968,1.2584,0.9018,1.2514,2.0068,1.4448
47.6,7.4,0.8958,1.3983,1.0639,1.3418,2.1045,1.5744,2.2044,3.2101,2.5151
47.6,7.5,1.0081,1.5405,1.1711,1.4739,2.2733,1.7491,2.3776,3.5698,2.7694
47.6,7.6,1.0083,1.601,1.1965,1.4894,2.3389,1.7935,2.3998,3.6472,2.8378
47.6,7.7,0.9238,1.517,1.1155,1.3943,2.2397,1.6661,2.2741,3.4216,2.6616
47.6,7.8,0.8082,1.2549,0.9614,1.2282,1.8347,1.4183,2.0074,3.0109,2.2855
47.6,7.9,0.7062,1.0844,0.8117,1.0614,1.5853,1.2067,1.736,2.5196,1.9547
47.6,8,0.6228,0.932,0.7144,0.9473,1.3702,1.0653,1.522,2.2221,1.7056
47.6,8.1,0.5726,0.861,0.656,0.8558,1.2585,0.9833,1.3718,2.0081,1.5672
