id,rtp,pcx,beta,pc,yrs,lam_t
luco,2475,0.1,0.8,0.01,50,2.01E-04
luco-2,475,0.006,0.8,0.01,50,2.01E-04
asce,2475,0.1,0.6,0.01,50,2.01E-04
asce-2,475,0.002,0.6,0.01,50,2.01E-04
douglas,475,0.00001,0.5,0.00001,1,1.00E-05
fio-1,975,0.0001,0.5,0.01,50,2.01E-04
fio-2,975,0.05,0.8,0.0005,50,1.00E-05
silva,475,0.001,0.6,0.00005,1,5.00E-05
vac-1,475,0.001,0.6,0.0002,1,0.00020002
vac-2,475,0.001,0.8,0.0002,1,0.00020002
vac-3,475,0.1,0.6,0.0002,1,0.00020002
vac-4,475,0.1,0.8,0.0002,1,0.00020002
vac-5,2475,0.1,0.6,0.0005,1,0.000500125
taherian,475,0.01,0.8,0.0002,1,0.00020002
tal-1,2475,0.1,0.6,0.01,50,0.000201007
tal-2,2475,0.1,0.7,0.01,50,0.000201007
tal-3,2475,0.1,0.8,0.01,50,0.000201007
tal-4,2475,0.1,0.9,0.01,50,0.000201007
tal-5,2475,0.1,1,0.01,50,0.000201007
horspool,500,0.0001,0.6,0.00001,1,1.00E-05
kha-1,475,0.000015,0.8,0.00001,1,1.00E-05
kha-2,475,0.0062,0.8,0.00001,1,1.00E-05
kha-3,475,0.0062,0.6,0.00001,1,1.00E-05
kha-4,475,0.000015,0.6,0.00001,1,1.00E-05
per-1,475,0.001,0.6,0.0002,1,0.00020002
per-2,475,0.0001,0.6,0.0002,1,0.00020002
per-3,475,0.001,0.6,0.00001,1,1.00E-05
per-4,475,0.0001,0.6,0.00001,1,1.00E-05
